sample_id, N_active, N_A_1, N_B_1, N_A_0, N_B_0, N_A_*, N_B_*
298, 2480355, 496499, 498090, 453563, 451827, 290188, 290188
299, 2481190, 508702, 494722, 450201, 463673, 281946, 281946
300, 2475715, 493648, 507803, 462846, 449182, 281118, 281118
301, 2479129, 501231, 498793, 454392, 456755, 283979, 283979
302, 2481362, 499496, 495767, 451522, 455117, 289730, 289730
303, 2474191, 509429, 483574, 438910, 464080, 289099, 289099
304, 2477444, 506853, 494008, 449233, 461978, 282686, 282686
305, 2482500, 501182, 505419, 460691, 456716, 279246, 279246
306, 2481139, 495940, 506961, 462237, 451327, 282337, 282337
307, 2476997, 505404, 494705, 450713, 459915, 283130, 283130
308, 2482803, 497372, 507382, 463111, 452940, 280999, 280999
309, 2481608, 491706, 507300, 462745, 447591, 286133, 286133
310, 2474256, 494738, 497924, 453492, 450040, 289031, 289031
311, 2477395, 501161, 495315, 451091, 456086, 286871, 286871
312, 2478690, 500914, 500041, 455563, 455532, 283320, 283320
313, 2480329, 501877, 496828, 452588, 457328, 285854, 285854
314, 2481762, 506974, 490904, 446561, 462613, 287355, 287355
315, 2477810, 492288, 510813, 465687, 447668, 280677, 280677
316, 2481013, 505596, 497795, 453445, 461085, 281546, 281546
317, 2476061, 499218, 498045, 453052, 454444, 285651, 285651
318, 2478672, 506868, 494067, 449867, 461836, 283017, 283017
319, 2477825, 495918, 495183, 450787, 451023, 292457, 292457
320, 2476513, 498072, 500212, 455443, 453272, 284757, 284757
321, 2478961, 508855, 497417, 452931, 464012, 277873, 277873
322, 2476836, 501510, 492812, 448335, 456579, 288800, 288800
323, 2482405, 512162, 495620, 451459, 467088, 278038, 278038
324, 2475941, 499516, 495885, 450999, 454623, 287459, 287459
325, 2477166, 499865, 497829, 453154, 455332, 285493, 285493
326, 2474556, 503366, 495307, 450842, 458135, 283453, 283453
327, 2475287, 505128, 497603, 452630, 460150, 279888, 279888
328, 2476494, 508649, 490547, 446437, 463451, 283705, 283705
329, 2475709, 495155, 509156, 464206, 450428, 278382, 278382
330, 2479526, 496612, 500245, 455540, 452501, 287314, 287314
331, 2479746, 507083, 495412, 451014, 462107, 282065, 282065
332, 2475721, 507615, 490511, 446134, 462129, 284666, 284666
333, 2481319, 503433, 493777, 449756, 459015, 287669, 287669
334, 2476923, 493154, 506068, 461218, 448661, 283911, 283911
335, 2473436, 492837, 500872, 455780, 448053, 287947, 287947
336, 2476850, 486716, 509144, 463870, 442930, 287095, 287095
337, 2475833, 493096, 503856, 459208, 448357, 285658, 285658
338, 2476424, 505976, 490241, 445721, 461108, 286689, 286689
339, 2480037, 499085, 504156, 459726, 454662, 281204, 281204
340, 2480838, 498595, 502754, 458240, 454103, 283573, 283573
341, 2479661, 511424, 485408, 441271, 466704, 287427, 287427
342, 2476994, 509638, 492158, 447541, 464829, 281414, 281414
343, 2479973, 510579, 485466, 441404, 465730, 288397, 288397
344, 2480634, 502866, 501725, 457050, 458105, 280444, 280444
345, 2477642, 499548, 500673, 456038, 454835, 283274, 283274
346, 2475488, 494489, 507286, 462457, 450098, 280579, 280579
347, 2477583, 491362, 500832, 456905, 447328, 290578, 290578
348, 2474933, 498801, 495521, 450239, 454380, 287996, 287996
349, 2478819, 500523, 499741, 455267, 455774, 283757, 283757
350, 2481504, 479283, 520915, 476108, 435576, 284811, 284811
351, 2480491, 504940, 491515, 447260, 460474, 288151, 288151
352, 2478919, 498613, 500589, 456049, 453606, 285031, 285031
353, 2478533, 509911, 489927, 445589, 464808, 284149, 284149
354, 2474381, 486844, 502815, 457736, 442358, 292314, 292314
355, 2481675, 492276, 507556, 462372, 447985, 285743, 285743
356, 2477736, 500981, 497989, 453116, 456208, 284721, 284721
357, 2480548, 509718, 487890, 444038, 464810, 287046, 287046
358, 2473625, 497034, 497386, 453253, 452448, 286752, 286752
359, 2480052, 493219, 503378, 458419, 449270, 287883, 287883
360, 2478900, 498244, 500421, 455451, 453738, 285523, 285523
361, 2477626, 505473, 493891, 449471, 460415, 284188, 284188
362, 2475725, 496804, 499426, 454565, 452418, 286256, 286256
363, 2472761, 482282, 512326, 466298, 437737, 287059, 287059
364, 2471500, 505098, 490636, 445845, 459647, 285137, 285137
365, 2477898, 504852, 497695, 453047, 459558, 281373, 281373
366, 2474206, 501924, 494400, 450066, 457186, 285315, 285315
367, 2474132, 499730, 495564, 450502, 455260, 286538, 286538
368, 2481131, 501220, 496676, 452599, 457048, 286794, 286794
369, 2478177, 502131, 497617, 453036, 457461, 283966, 283966
370, 2473990, 497535, 499973, 454976, 452796, 284355, 284355
371, 2478054, 498053, 500703, 455967, 452903, 285214, 285214
372, 2477723, 496549, 502183, 457459, 452012, 284760, 284760
373, 2479364, 511561, 492467, 447663, 466787, 280443, 280443
374, 2479821, 498372, 506854, 462605, 454126, 278932, 278932
375, 2475597, 508595, 493787, 449273, 463328, 280307, 280307
376, 2480272, 494625, 505477, 460933, 450103, 284567, 284567
377, 2481359, 500716, 500465, 456020, 456168, 283995, 283995
378, 2473193, 500014, 495160, 450296, 454751, 286486, 286486
379, 2477329, 494847, 507047, 461928, 450671, 281418, 281418
380, 2476664, 486557, 514460, 469297, 442000, 282175, 282175
381, 2477560, 503260, 499904, 454693, 458131, 280786, 280786
382, 2475914, 498317, 498460, 453648, 453625, 285932, 285932
383, 2476477, 500079, 496094, 451415, 455339, 286775, 286775
384, 2474962, 496851, 501298, 456224, 451825, 284382, 284382
385, 2478131, 508160, 493372, 448989, 463278, 282166, 282166
386, 2480336, 498904, 493671, 449096, 454779, 291943, 291943
387, 2477447, 496862, 502331, 457182, 452292, 284390, 284390
388, 2477843, 499709, 502133, 457747, 455096, 281579, 281579
389, 2477137, 498306, 503291, 458028, 453952, 281780, 281780
390, 2475833, 488641, 510179, 465403, 444182, 283714, 283714
391, 2477936, 501420, 499053, 454177, 456906, 283190, 283190
392, 2473134, 500079, 498229, 452968, 455346, 283256, 283256
393, 2477290, 495461, 504421, 459701, 450599, 283554, 283554
394, 2482649, 499248, 499591, 455309, 455031, 286735, 286735
395, 2474228, 497802, 500106, 455089, 452897, 284167, 284167
396, 2477885, 492441, 500887, 455952, 448025, 290290, 290290
397, 2483443, 501781, 504234, 459849, 457395, 280092, 280092
398, 2474272, 502418, 488003, 443810, 457291, 291375, 291375
399, 2477177, 492201, 509194, 464491, 447715, 281788, 281788
400, 2477924, 514343, 488524, 443855, 469454, 280874, 280874
401, 2476571, 495982, 501093, 456226, 451468, 285901, 285901
402, 2476041, 514881, 485251, 441079, 469752, 282539, 282539
403, 2480872, 501437, 496230, 451807, 456576, 287411, 287411
404, 2481685, 491195, 510976, 465937, 447307, 283135, 283135
405, 2475223, 497502, 495675, 450964, 452420, 289331, 289331
406, 2476920, 500557, 503158, 458019, 455748, 279719, 279719
407, 2476262, 505021, 490113, 445533, 460215, 287690, 287690
408, 2477275, 505814, 493476, 448861, 461082, 284021, 284021
409, 2473799, 497909, 495120, 450457, 453253, 288530, 288530
410, 2481156, 506062, 490574, 446016, 461692, 288406, 288406
411, 2479335, 490203, 505477, 460612, 445747, 288648, 288648
412, 2477497, 502006, 497565, 453090, 457008, 283914, 283914
413, 2475642, 502238, 493004, 448502, 457038, 287430, 287430
414, 2472197, 499357, 494632, 448991, 454319, 287449, 287449
415, 2476749, 497273, 501853, 456992, 453183, 283724, 283724
416, 2475304, 500708, 494062, 449455, 456145, 287467, 287467
417, 2479059, 506724, 499074, 454872, 461749, 278320, 278320
418, 2472072, 496999, 503526, 458264, 452113, 280585, 280585
419, 2476677, 497930, 501587, 456540, 453822, 283399, 283399
420, 2474660, 493736, 508484, 463089, 448967, 280192, 280192
421, 2477497, 501131, 499049, 454131, 456466, 283360, 283360
422, 2475850, 491498, 507059, 461783, 446700, 284405, 284405
423, 2483249, 498025, 499999, 455087, 453730, 288204, 288204
424, 2478667, 514271, 491963, 447697, 469084, 277826, 277826
425, 2476119, 502369, 497728, 452451, 457295, 283138, 283138
426, 2479548, 498905, 503410, 458869, 454426, 281969, 281969
427, 2482605, 496866, 499087, 454590, 452488, 289787, 289787
428, 2478553, 503985, 497605, 453018, 459315, 282315, 282315
429, 2474052, 484909, 513448, 467691, 440596, 283704, 283704
430, 2473964, 493016, 500797, 456169, 448226, 287878, 287878
431, 2480950, 501823, 500501, 455481, 457311, 282917, 282917
432, 2480090, 496403, 504950, 459779, 451988, 283485, 283485
433, 2478663, 488856, 508620, 463734, 444831, 286311, 286311
434, 2480281, 484468, 513718, 468675, 440568, 286426, 286426
435, 2478347, 499541, 497307, 452643, 454470, 287193, 287193
436, 2476308, 494895, 500571, 455864, 449966, 287506, 287506
437, 2479085, 494046, 502928, 458944, 449707, 286730, 286730
438, 2475892, 497958, 498863, 454232, 453363, 285738, 285738
439, 2476607, 500208, 499026, 454729, 455630, 283507, 283507
440, 2477985, 505065, 490992, 447170, 460042, 287358, 287358
441, 2475699, 499361, 496701, 451657, 454434, 286773, 286773
442, 2477915, 496136, 502434, 457719, 451268, 285179, 285179
443, 2483441, 493749, 504752, 460497, 449493, 287475, 287475
