cluster_size,total_clusters_of_this_size,n_s
659,145,1.4500000000e-11
660,142,1.4200000000e-11
661,154,1.5400000000e-11
662,139,1.3900000000e-11
663,146,1.4600000000e-11
664,144,1.4400000000e-11
665,129,1.2900000000e-11
666,163,1.6300000000e-11
667,153,1.5300000000e-11
668,142,1.4200000000e-11
669,142,1.4200000000e-11
670,148,1.4800000000e-11
671,134,1.3400000000e-11
672,133,1.3300000000e-11
673,120,1.2000000000e-11
674,137,1.3700000000e-11
675,122,1.2200000000e-11
676,127,1.2700000000e-11
677,139,1.3900000000e-11
678,123,1.2300000000e-11
679,139,1.3900000000e-11
680,132,1.3200000000e-11
681,137,1.3700000000e-11
682,134,1.3400000000e-11
683,133,1.3300000000e-11
684,112,1.1200000000e-11
685,125,1.2500000000e-11
686,139,1.3900000000e-11
687,125,1.2500000000e-11
688,131,1.3100000000e-11
689,114,1.1400000000e-11
690,132,1.3200000000e-11
691,122,1.2200000000e-11
692,117,1.1700000000e-11
693,99,9.9000000000e-12
694,111,1.1100000000e-11
695,97,9.7000000000e-12
696,125,1.2500000000e-11
697,113,1.1300000000e-11
698,102,1.0200000000e-11
699,118,1.1800000000e-11
700,116,1.1600000000e-11
701,121,1.2100000000e-11
702,111,1.1100000000e-11
703,113,1.1300000000e-11
704,113,1.1300000000e-11
705,98,9.8000000000e-12
706,97,9.7000000000e-12
707,88,8.8000000000e-12
708,112,1.1200000000e-11
709,95,9.5000000000e-12
710,103,1.0300000000e-11
711,92,9.2000000000e-12
712,100,1.0000000000e-11
713,99,9.9000000000e-12
714,108,1.0800000000e-11
715,90,9.0000000000e-12
716,90,9.0000000000e-12
717,102,1.0200000000e-11
718,74,7.4000000000e-12
719,77,7.7000000000e-12
720,101,1.0100000000e-11
721,103,1.0300000000e-11
722,84,8.4000000000e-12
723,110,1.1000000000e-11
724,97,9.7000000000e-12
725,83,8.3000000000e-12
726,103,1.0300000000e-11
727,84,8.4000000000e-12
728,90,9.0000000000e-12
729,75,7.5000000000e-12
730,76,7.6000000000e-12
731,78,7.8000000000e-12
732,83,8.3000000000e-12
733,79,7.9000000000e-12
734,93,9.3000000000e-12
735,85,8.5000000000e-12
736,76,7.6000000000e-12
737,80,8.0000000000e-12
738,96,9.6000000000e-12
739,84,8.4000000000e-12
740,79,7.9000000000e-12
741,76,7.6000000000e-12
742,76,7.6000000000e-12
743,87,8.7000000000e-12
744,68,6.8000000000e-12
745,83,8.3000000000e-12
746,58,5.8000000000e-12
747,65,6.5000000000e-12
748,70,7.0000000000e-12
749,73,7.3000000000e-12
750,74,7.4000000000e-12
751,76,7.6000000000e-12
752,62,6.2000000000e-12
753,65,6.5000000000e-12
754,76,7.6000000000e-12
755,79,7.9000000000e-12
756,69,6.9000000000e-12
757,66,6.6000000000e-12
758,77,7.7000000000e-12
759,82,8.2000000000e-12
760,66,6.6000000000e-12
761,73,7.3000000000e-12
762,69,6.9000000000e-12
763,81,8.1000000000e-12
764,65,6.5000000000e-12
765,69,6.9000000000e-12
766,54,5.4000000000e-12
767,71,7.1000000000e-12
768,64,6.4000000000e-12
769,65,6.5000000000e-12
770,62,6.2000000000e-12
771,63,6.3000000000e-12
772,59,5.9000000000e-12
773,71,7.1000000000e-12
774,61,6.1000000000e-12
775,49,4.9000000000e-12
776,50,5.0000000000e-12
777,63,6.3000000000e-12
778,63,6.3000000000e-12
779,55,5.5000000000e-12
780,68,6.8000000000e-12
781,61,6.1000000000e-12
782,68,6.8000000000e-12
783,66,6.6000000000e-12
784,62,6.2000000000e-12
785,65,6.5000000000e-12
786,49,4.9000000000e-12
787,68,6.8000000000e-12
788,55,5.5000000000e-12
789,50,5.0000000000e-12
790,41,4.1000000000e-12
791,57,5.7000000000e-12
792,53,5.3000000000e-12
793,54,5.4000000000e-12
794,42,4.2000000000e-12
795,57,5.7000000000e-12
796,54,5.4000000000e-12
797,56,5.6000000000e-12
798,40,4.0000000000e-12
799,54,5.4000000000e-12
800,38,3.8000000000e-12
801,40,4.0000000000e-12
802,63,6.3000000000e-12
803,56,5.6000000000e-12
804,54,5.4000000000e-12
805,48,4.8000000000e-12
806,47,4.7000000000e-12
807,44,4.4000000000e-12
808,40,4.0000000000e-12
809,53,5.3000000000e-12
810,39,3.9000000000e-12
811,50,5.0000000000e-12
812,54,5.4000000000e-12
813,48,4.8000000000e-12
814,41,4.1000000000e-12
815,55,5.5000000000e-12
816,43,4.3000000000e-12
817,50,5.0000000000e-12
818,34,3.4000000000e-12
819,38,3.8000000000e-12
820,48,4.8000000000e-12
821,43,4.3000000000e-12
822,40,4.0000000000e-12
823,43,4.3000000000e-12
824,48,4.8000000000e-12
825,40,4.0000000000e-12
826,36,3.6000000000e-12
827,30,3.0000000000e-12
828,41,4.1000000000e-12
829,34,3.4000000000e-12
830,48,4.8000000000e-12
831,42,4.2000000000e-12
832,40,4.0000000000e-12
833,50,5.0000000000e-12
834,35,3.5000000000e-12
835,47,4.7000000000e-12
836,40,4.0000000000e-12
837,33,3.3000000000e-12
838,38,3.8000000000e-12
839,51,5.1000000000e-12
840,36,3.6000000000e-12
841,55,5.5000000000e-12
842,36,3.6000000000e-12
843,40,4.0000000000e-12
844,39,3.9000000000e-12
845,30,3.0000000000e-12
846,32,3.2000000000e-12
847,39,3.9000000000e-12
848,37,3.7000000000e-12
849,29,2.9000000000e-12
850,39,3.9000000000e-12
851,30,3.0000000000e-12
852,41,4.1000000000e-12
853,23,2.3000000000e-12
854,38,3.8000000000e-12
855,36,3.6000000000e-12
856,49,4.9000000000e-12
857,42,4.2000000000e-12
858,32,3.2000000000e-12
859,37,3.7000000000e-12
860,37,3.7000000000e-12
861,30,3.0000000000e-12
862,40,4.0000000000e-12
863,39,3.9000000000e-12
864,31,3.1000000000e-12
865,38,3.8000000000e-12
866,29,2.9000000000e-12
867,29,2.9000000000e-12
868,26,2.6000000000e-12
869,28,2.8000000000e-12
870,37,3.7000000000e-12
871,24,2.4000000000e-12
872,33,3.3000000000e-12
873,30,3.0000000000e-12
874,28,2.8000000000e-12
875,32,3.2000000000e-12
876,27,2.7000000000e-12
877,27,2.7000000000e-12
878,34,3.4000000000e-12
879,34,3.4000000000e-12
880,24,2.4000000000e-12
881,17,1.7000000000e-12
882,29,2.9000000000e-12
883,28,2.8000000000e-12
884,22,2.2000000000e-12
885,27,2.7000000000e-12
886,38,3.8000000000e-12
887,30,3.0000000000e-12
888,18,1.8000000000e-12
889,26,2.6000000000e-12
890,27,2.7000000000e-12
891,37,3.7000000000e-12
892,34,3.4000000000e-12
893,23,2.3000000000e-12
894,32,3.2000000000e-12
895,33,3.3000000000e-12
896,28,2.8000000000e-12
897,19,1.9000000000e-12
898,26,2.6000000000e-12
899,21,2.1000000000e-12
900,23,2.3000000000e-12
901,31,3.1000000000e-12
902,33,3.3000000000e-12
903,28,2.8000000000e-12
904,32,3.2000000000e-12
905,28,2.8000000000e-12
906,29,2.9000000000e-12
907,27,2.7000000000e-12
908,21,2.1000000000e-12
909,26,2.6000000000e-12
910,23,2.3000000000e-12
911,28,2.8000000000e-12
912,26,2.6000000000e-12
913,23,2.3000000000e-12
914,31,3.1000000000e-12
915,22,2.2000000000e-12
916,33,3.3000000000e-12
917,22,2.2000000000e-12
918,19,1.9000000000e-12
919,16,1.6000000000e-12
920,22,2.2000000000e-12
921,12,1.2000000000e-12
922,22,2.2000000000e-12
923,19,1.9000000000e-12
924,21,2.1000000000e-12
925,28,2.8000000000e-12
926,21,2.1000000000e-12
927,19,1.9000000000e-12
928,23,2.3000000000e-12
929,20,2.0000000000e-12
930,22,2.2000000000e-12
931,11,1.1000000000e-12
932,18,1.8000000000e-12
933,23,2.3000000000e-12
934,19,1.9000000000e-12
935,23,2.3000000000e-12
936,20,2.0000000000e-12
937,26,2.6000000000e-12
938,25,2.5000000000e-12
939,16,1.6000000000e-12
940,15,1.5000000000e-12
941,24,2.4000000000e-12
942,20,2.0000000000e-12
943,18,1.8000000000e-12
944,20,2.0000000000e-12
945,19,1.9000000000e-12
946,13,1.3000000000e-12
947,21,2.1000000000e-12
948,11,1.1000000000e-12
949,15,1.5000000000e-12
950,24,2.4000000000e-12
951,22,2.2000000000e-12
952,25,2.5000000000e-12
