L,rho,n_samples,mean,std,second_moment,fourth_moment,binder_cumulant
180,0.19777400,1000,3.3684669479e-01,7.8111550560e-04,1.1346630532e-01,1.2874879107e-02,0.6666595036296146
180,0.19999600,1000,3.2901455367e-01,7.6950185515e-04,1.0825116807e-01,1.1718571574e-02,0.6666593793393232
180,0.20217800,1000,3.2133701063e-01,7.5751269093e-04,1.0325804765e-01,1.0662461151e-02,0.6666592652637451
180,0.20432000,1000,3.1392281722e-01,8.0477861072e-04,9.8548182189e-02,9.7119992637e-03,0.6666579126305154
180,0.20642100,1000,3.0656516958e-01,7.6220110109e-04,9.3982783570e-02,8.8329819216e-03,0.6666584278724093
180,0.20848100,1000,2.9944322857e-01,7.2364628825e-04,8.9666770275e-02,8.0403172969e-03,0.6666588887905205
180,0.21050100,1000,2.9250657287e-01,7.7916609376e-04,8.5560701667e-02,7.3208411828e-03,0.6666572178941382
180,0.21248100,1000,2.8569300326e-01,7.5395808919e-04,8.1621059995e-02,6.6621828532e-03,0.6666573892433495
180,0.21442000,1000,2.7909015809e-01,7.8897968907e-04,7.7891938211e-02,6.0673478007e-03,0.6666560212350813
180,0.21631900,1000,2.7268997119e-01,7.7761510030e-04,7.4360424470e-02,5.5296524549e-03,0.6666558321454434
180,0.21817800,1000,2.6629565466e-01,7.7349410930e-04,7.0913973388e-02,5.0289611931e-03,0.666655426629184
180,0.21999600,1000,2.6005441615e-01,8.1281096993e-04,6.7628959361e-02,4.5738547104e-03,0.6666536526187636
180,0.22177400,1000,2.5402832236e-01,8.0462432764e-04,6.4531035334e-02,4.1644214976e-03,0.666653300816671
180,0.22351100,1000,2.4806777315e-01,8.0673084692e-04,6.1538270239e-02,3.7871186855e-03,0.6666525848672145
180,0.22520800,1000,2.4223709294e-01,7.8155094994e-04,5.8679419405e-02,3.4434175400e-03,0.6666527963085216
180,0.22686400,1000,2.3654292095e-01,8.4368888469e-04,5.5953264552e-02,3.1309269948e-03,0.666649718663854
180,0.22848100,1000,2.3087449040e-01,8.7294553574e-04,5.3303791588e-02,2.8414565399e-03,0.6666476210996157
