L,rho,mean_density,std_density,second_moment,fourth_moment,Binder_cumulant
100,0.2641870,9.2679491000e-02,1.5838409035e-02,8.8403432528e-03,8.5215993038e-05,6.3653583552e-01
100,0.2652740,7.9011783200e-02,1.8276288247e-02,6.5768845965e-03,5.0289363867e-05,6.1246186539e-01
100,0.2665350,6.1334323200e-02,1.9742110535e-02,4.1516501308e-03,2.2865426445e-05,5.5780222196e-01
100,0.2679830,4.3375164200e-02,1.7904510370e-02,2.2019763610e-03,7.6993972315e-06,4.7068991693e-01
100,0.2696300,2.8007692300e-02,1.3358979426e-02,9.6289315928e-04,1.7880223486e-06,3.5717096378e-01
100,0.2714890,1.7198804600e-02,8.4982631018e-03,3.6801935542e-04,2.9788927069e-07,2.6685093374e-01
100,0.2735730,1.0704006900e-02,5.0799743861e-03,1.4038190348e-04,4.4625290508e-08,2.4519016903e-01
100,0.2758950,6.9067072000e-03,3.0296252223e-03,5.6881233334e-05,6.8950792676e-09,2.8963754472e-01
100,0.2784680,4.6051536000e-03,1.7873936198e-03,2.4402215632e-05,1.1094616586e-09,3.7894148209e-01
100,0.2813050,3.1603703000e-03,1.0980446451e-03,1.1193642476e-05,2.0911115161e-10,4.4369485550e-01
100,0.2844180,2.2683928000e-03,7.3903391026e-04,5.6917770156e-06,5.1323477738e-11,4.7192079354e-01
100,0.2878200,1.6517257000e-03,5.0123083052e-04,2.9794301335e-06,1.3277124230e-11,5.0144123892e-01
100,0.2915250,1.2428306000e-03,3.5033055491e-04,1.6673593980e-06,3.9613616825e-12,5.2503151081e-01
100,0.2955450,9.4428180000e-04,2.5068084328e-04,9.5450900300e-07,1.2454730736e-12,5.4432727923e-01
100,0.2998930,7.3058840000e-04,1.8029025705e-04,5.6626398700e-07,4.1877229627e-13,5.6466979257e-01
100,0.3045820,5.7428870000e-04,1.3907969281e-04,3.4915067190e-07,1.5883501493e-13,5.6569059995e-01
100,0.3096240,4.5385840000e-04,1.0270885332e-04,2.1653655580e-07,5.8562538671e-14,5.8367145286e-01
100,0.3150330,3.6566880000e-04,7.9846092619e-05,1.4008906980e-07,2.4219684945e-14,5.8862420783e-01
100,0.3208220,2.9703830000e-04,6.2506443133e-05,9.2138807100e-08,1.0317465882e-14,5.9489592090e-01
100,0.3270020,2.4101380000e-04,4.8078373616e-05,6.0399181800e-08,4.3345219173e-15,6.0394286858e-01
100,0.3335880,1.9979620000e-04,4.0023254060e-05,4.1520382400e-08,2.0654655458e-15,6.0063131271e-01
100,0.3405920,1.6563100000e-04,3.2242574944e-05,2.8473211800e-08,9.6206085593e-16,6.0444363931e-01
100,0.3480270,1.3851080000e-04,2.6333447996e-05,1.9878692200e-08,4.6269555852e-16,6.0970008422e-01
100,0.3559050,1.1600150000e-04,2.1052185106e-05,1.3899542500e-08,2.2355368754e-16,6.1429117850e-01
100,0.3642400,9.7931100000e-05,1.7865910354e-05,9.9096911000e-09,1.1345696504e-16,6.1488567508e-01
100,0.3730450,8.3153000000e-05,1.4911290722e-05,7.1367680000e-09,5.8583091636e-17,6.1660373798e-01
100,0.3823320,7.0899900000e-05,1.2720333329e-05,5.1886027000e-09,3.1020011355e-17,6.1592161827e-01
100,0.3921140,6.0598500000e-05,1.0836673740e-05,3.7896117000e-09,1.6504345856e-17,6.1692162538e-01
100,0.4024040,5.2010200000e-05,9.4921807800e-06,2.7951624000e-09,9.0825801900e-18,6.1249804765e-01
100,0.4132150,4.4790400000e-05,8.1074575448e-06,2.0719108000e-09,4.9626249808e-18,6.1465644983e-01
100,0.4245600,3.8499800000e-05,6.8906748552e-06,1.5297160000e-09,2.6903481328e-18,6.1676460895e-01
100,0.4364520,3.3214800000e-05,6.1152318811e-06,1.1406190000e-09,1.5110030794e-18,6.1286459460e-01
100,0.4489030,2.8575500000e-05,5.2744193756e-06,8.4437870000e-10,8.2892828150e-19,6.1245586955e-01
100,0.4619260,2.4795700000e-05,4.7031437901e-06,6.3694630000e-10,4.7405770030e-19,6.1050282478e-01
100,0.4755340,2.1439700000e-05,4.1204567599e-06,4.7663890000e-10,2.6695138210e-19,6.0831949887e-01
100,0.4897410,1.8421400000e-05,3.6674544360e-06,3.5279820000e-10,1.4829306780e-19,6.0285703518e-01
100,0.5045590,1.5924800000e-05,3.2322971646e-06,2.6404700000e-10,8.3845273400e-20,5.9913803101e-01
100,0.5200000,1.3689800000e-05,2.8254868536e-06,1.9539400000e-10,4.5930718000e-20,5.9898600209e-01
