L,rho,mean_density,std_density
20,0.2741870,9.2062925000e-02,4.1506312771e-02
20,0.2752770,8.7905800000e-02,4.0344617455e-02
20,0.2764090,8.3755537500e-02,3.9439104551e-02
20,0.2775800,7.9678687500e-02,3.8042878693e-02
20,0.2787920,7.5475550000e-02,3.6556718034e-02
20,0.2800450,7.0811500000e-02,3.4794474179e-02
20,0.2813380,6.7712262500e-02,3.3117416150e-02
20,0.2826710,6.2813637500e-02,3.1100482291e-02
20,0.2840450,5.8865412500e-02,2.9657947453e-02
20,0.2854590,5.6002000000e-02,2.8211727488e-02
20,0.2869130,5.2564050000e-02,2.6893782055e-02
20,0.2884080,4.9309537500e-02,2.4669725956e-02
20,0.2899440,4.6057662500e-02,2.3313845840e-02
20,0.2915190,4.3374812500e-02,2.1867407789e-02
20,0.2931360,4.0464550000e-02,2.0502237672e-02
20,0.2947920,3.7908050000e-02,1.8830647183e-02
20,0.2964890,3.5651575000e-02,1.7637724928e-02
20,0.2982260,3.3003587500e-02,1.6104246857e-02
20,0.3000040,3.0964787500e-02,1.4788885155e-02
20,0.3018220,2.9263862500e-02,1.4018683516e-02
20,0.3036810,2.7026662500e-02,1.2705510371e-02
20,0.3055800,2.5847475000e-02,1.2480943294e-02
20,0.3075190,2.4035350000e-02,1.1225071286e-02
20,0.3094990,2.2510200000e-02,1.0572287138e-02
20,0.3115190,2.1011225000e-02,9.3422485716e-03
20,0.3135790,1.9725625000e-02,8.8333129889e-03
20,0.3156800,1.8717362500e-02,8.3360102931e-03
20,0.3178220,1.7473062500e-02,7.6394938680e-03
20,0.3200040,1.6357512500e-02,6.8951775811e-03
20,0.3222260,1.5429925000e-02,6.5312383106e-03
20,0.3244880,1.4627475000e-02,6.1152652334e-03
20,0.3267910,1.3830962500e-02,5.6900090410e-03
20,0.3291350,1.2946650000e-02,5.2138392191e-03
20,0.3315180,1.2350575000e-02,4.9515575498e-03
20,0.3339430,1.1610462500e-02,4.5909189819e-03
20,0.3364070,1.0930425000e-02,4.4116408449e-03
20,0.3389120,1.0291287500e-02,4.0033751423e-03
20,0.3414580,9.7767000000e-03,3.8727601895e-03
20,0.3440430,9.2324125000e-03,3.5844911239e-03
20,0.3466700,8.7532250000e-03,3.3920337151e-03
20,0.3493360,8.2847250000e-03,3.1111970846e-03
20,0.3520430,7.8444875000e-03,2.8758751798e-03
20,0.3547910,7.4606875000e-03,2.7835796135e-03
20,0.3575780,7.1393375000e-03,2.6559418760e-03
20,0.3604070,6.7148500000e-03,2.4272493645e-03
20,0.3632750,6.3942125000e-03,2.3137242581e-03
20,0.3661840,6.0572750000e-03,2.1499863835e-03
20,0.3691340,5.7834375000e-03,2.0502368146e-03
20,0.3721230,5.4950625000e-03,1.9897147242e-03
20,0.3751540,5.2563875000e-03,1.8670393039e-03
20,0.3782240,4.9962875000e-03,1.7659364456e-03
20,0.3813350,4.7517750000e-03,1.6995081934e-03
20,0.3844870,4.5063500000e-03,1.5930367000e-03
20,0.3876790,4.2991375000e-03,1.4870165832e-03
20,0.3909110,4.1087250000e-03,1.4458899074e-03
20,0.3941830,3.9268125000e-03,1.3779904399e-03
20,0.3974970,3.7649875000e-03,1.3349773172e-03
20,0.4008500,3.5597125000e-03,1.2295127510e-03
20,0.4042440,3.3878750000e-03,1.1741778440e-03
20,0.4076780,3.2584250000e-03,1.1608257920e-03
20,0.4111530,3.0986250000e-03,1.0751153935e-03
20,0.4146680,2.9586625000e-03,1.0226645460e-03
20,0.4182230,2.8320750000e-03,9.7905468150e-04
20,0.4218190,2.7008250000e-03,9.3813841962e-04
20,0.4254550,2.5797000000e-03,8.9802444844e-04
