L,rho,n_samples,mean,std,second_moment,fourth_moment,binder_cumulant
320,0.18108800,1000,3.9452962555e-01,3.3763868666e-04,1.5565373932e-01,2.4228157469e-02,0.6666656911612273
320,0.18359300,1000,3.8515735843e-01,3.2402908945e-04,1.4834629564e-01,2.2006685668e-02,0.6666657239663574
320,0.18605700,1000,3.7601851688e-01,3.2407355739e-04,1.4139002995e-01,1.9991199906e-02,0.6666656772973896
320,0.18848200,1000,3.6710296790e-01,3.1537876170e-04,1.3476468840e-01,1.8161574806e-02,0.6666656835322478
320,0.19086500,1000,3.5842656854e-01,3.2447237606e-04,1.2846971021e-01,1.6504520485e-02,0.6666655751918009
320,0.19320900,1000,3.4995336621e-01,3.2762410974e-04,1.2246746575e-01,1.4998332699e-02,0.6666654991767098
320,0.19551200,1000,3.4170833539e-01,3.2700759487e-04,1.1676469330e-01,1.3634043492e-02,0.6666654469215838
320,0.19777400,1000,3.3366512924e-01,3.2932368921e-04,1.1133252682e-01,1.2394979781e-02,0.6666653689903101
320,0.19999600,1000,3.2582324347e-01,3.2998203695e-04,1.0616089476e-01,1.1270181770e-02,0.6666653004368219
320,0.20217800,1000,3.1815221146e-01,3.1944395959e-04,1.0122093160e-01,1.0245718272e-02,0.666665323696205
320,0.20432000,1000,3.1067879977e-01,3.3042699519e-04,9.6521425702e-02,9.3164277360e-03,0.666665159771235
320,0.20642100,1000,3.0340952692e-01,3.2407103367e-04,9.2057445941e-02,8.4746119864e-03,0.6666651470909458
320,0.20848100,1000,2.9630588019e-01,3.2428437092e-04,8.7797279689e-02,7.7083992131e-03,0.6666650713298417
320,0.21050100,1000,2.8937344870e-01,3.2505562944e-04,8.3737098368e-02,7.0119369966e-03,0.6666649860234246
320,0.21248100,1000,2.8262692691e-01,3.2620056868e-04,7.9878086115e-02,6.3805426032e-03,0.6666648924217287
320,0.21442000,1000,2.7600347989e-01,3.2713283918e-04,7.6178027820e-02,5.8031245025e-03,0.6666647952532314
320,0.21631900,1000,2.6952106515e-01,3.3968915508e-04,7.2641719836e-02,5.2768529529e-03,0.6666645509852089
320,0.21817800,1000,2.6320121808e-01,3.3851586310e-04,6.9274995676e-02,4.7990567535e-03,0.6666644629164911
320,0.21999600,1000,2.5703903049e-01,3.3900241556e-04,6.6069178001e-02,4.3651666235e-03,0.6666643496900824
320,0.22177400,1000,2.5098945947e-01,3.3597880616e-04,6.2995821535e-02,3.9685019459e-03,0.6666642799384221
320,0.22351100,1000,2.4505436752e-01,3.4296838787e-04,6.0051760552e-02,3.6062421715e-03,0.6666640576410813
320,0.22520800,1000,2.3925162909e-01,3.4591301311e-04,5.7241461558e-02,3.2766122897e-03,0.6666638824256861
320,0.22686400,1000,2.3356897168e-01,3.6243402258e-04,5.4554595759e-02,2.9762325481e-03,0.6666634601519135
