# d L W rho N_samples N_thermal mean_sweeps sweeps_std dis_mR dis_mAbsR dis_mR2 dis_mR3 dis_mAbsR3 dis_mR4 q_EA dis_mAbsR_sq dis_mR_p4 dis_mAbsR_p4 dis_mR2_sq chi_th_abs chi_dis_abs chi_tot_abs chi_tot_abs_sem_jk chi_th_R chi_dis_R chi_tot_R U4 U_EA U_EA_abs U22 acf_probe_warn_count acf_probe_warn_frac
2 300 300 0.1481967213 5000 128 50.7549831138 11.9227347729 0.0044013993 0.1351876318 0.0283667595 0.0001869287 0.0074633104 0.0022799747 0.0275612624 0.0276885265 0.0021577390 0.0021583915 0.0021987244 61.0409685280 847.1547599635 908.1957284916 19.2410820084 72.4947377370 2478.7701045697 2551.2648423067 0.0555274969 0.0531538012 0.0615540271 0.0891851904 0 0.0000000000
2 300 300 0.1495081967 5000 128 152.7118430268 35.1428663677 0.0034653913 0.1293809248 0.0259405110 0.0001945119 0.0065233275 0.0018997022 0.0251875538 0.0252951999 0.0017945307 0.0017950549 0.0018298978 58.0780002129 770.0198612534 828.0978614663 17.3273962218 67.7661500917 2265.7990394470 2333.5651895387 0.0589618763 0.0571173183 0.0648521955 0.0935402617 0 0.0000000000
2 300 300 0.1508196721 5000 128 93.4161128491 21.1166738381 0.0015984765 0.1245639189 0.0242327628 0.0001339926 0.0059195350 0.0016756025 0.0235247398 0.0236290051 0.0015828794 0.0015833155 0.0016141149 54.3381905237 730.1551695751 784.4933600988 16.4608381657 63.7220708156 2116.9966176037 2180.7186884193 0.0488612381 0.0465960931 0.0547311851 0.0837640474 0 0.0000000000
2 300 300 0.1521311475 5000 128 37.0882407674 8.1948042244 0.0027394910 0.1206030541 0.0226012255 0.0002056295 0.0053305014 0.0014610099 0.0219233802 0.0220141075 0.0013736624 0.0013740235 0.0014029922 52.8406179320 672.2109731512 725.0515910832 15.3877542677 61.0060761400 1972.4287816681 2033.4348578081 0.0466158288 0.0473272876 0.0549152795 0.0844753572 0 0.0000000000
2 300 300 0.1534426230 5000 128 70.5570672996 15.5571005077 0.0028281088 0.1154750266 0.0208881202 0.0002549762 0.0047883285 0.0012829805 0.0202441724 0.0203322775 0.0012072878 0.0012076282 0.0012328609 50.0258403525 629.8016155319 679.8274558844 14.9483333985 57.9552961551 1821.2556814525 1879.2109776075 0.0198329845 0.0180497405 0.0262669355 0.0581231527 0 0.0000000000
2 300 300 0.1547540984 5000 128 105.9673486054 22.9607565104 0.0023714656 0.1111831006 0.0193325806 0.0001626862 0.0042830169 0.0011174974 0.0187373226 0.0188237890 0.0010556828 0.0010559481 0.0010764870 45.7912434230 581.5896438725 627.3808872955 14.4040309389 53.5732234230 1685.8528845040 1739.4261079270 0.0033432790 -0.0022986006 0.0066387119 0.0399189723 0 0.0000000000
2 300 300 0.1560655738 5000 128 75.4678087172 16.1066936511 0.0020427138 0.1072761982 0.0180938021 0.0001588373 0.0038817960 0.0009804940 0.0175428018 0.0176209719 0.0009255222 0.0009257160 0.0009439646 42.5547201867 550.1510249033 592.7057450901 13.5173486954 49.5900253008 1578.4766207486 1628.0666460495 0.0016932651 -0.0024614634 0.0062050612 0.0388863085 0 0.0000000000
2 300 300 0.1573770492 5000 128 70.1000041789 14.8653433733 0.0013392895 0.1035322741 0.0168499232 0.0001409846 0.0034717918 0.0008348204 0.0163032947 0.0163769447 0.0007819083 0.0007820844 0.0007996725 42.5680647407 509.2211582010 551.7892229417 11.9645617656 49.1965587991 1467.1350925586 1516.3316513577 0.0198874164 0.0194182942 0.0279992227 0.0611525484 0 0.0000000000
2 300 300 0.1586885246 5000 128 104.6771696111 21.8280904457 0.0010921300 0.1005936698 0.0157932242 0.0000898643 0.0031271962 0.0007231168 0.0152893675 0.0153598204 0.0006778164 0.0006779850 0.0006930638 39.0063384271 471.6660611396 510.6723995667 11.0770890482 45.3471012865 1375.9357270863 1421.2828283728 0.0336251485 0.0334779092 0.0420859386 0.0737880663 0 0.0000000000
2 300 300 0.1600000000 5000 128 127.2334936228 26.4602005707 0.0016352190 0.0964164769 0.0144545506 0.0001023196 0.0027377714 0.0006063460 0.0139831042 0.0140491012 0.0005663040 0.0005664584 0.0005797549 36.4904463168 427.7667737997 464.2572201165 10.1105191498 42.4301762041 1258.2387204068 1300.6688966109 0.0326356926 0.0345691743 0.0433574100 0.0750590349 0 0.0000000000
2 300 300 0.1632407407 5000 128 138.9675624741 28.5857875881 0.0012064363 0.0884418820 0.0122118218 0.0001016689 0.0021387104 0.0004390866 0.0117948485 0.0118518010 0.0004094688 0.0004095843 0.0004194301 32.4018642180 362.6851093920 395.0869736100 8.7428758883 37.5275910019 1061.4053730930 1098.9329640949 0.0185503151 0.0188965438 0.0280289947 0.0624867566 0 0.0000000000
2 300 300 0.1664814815 5000 128 93.7769378470 18.7880563706 0.0015729127 0.0821464394 0.0106142182 0.0000772881 0.0017435259 0.0003368122 0.0102435416 0.0102942771 0.0003149443 0.0003150217 0.0003222881 28.7946980054 319.1615657743 347.9562637797 7.8392778474 33.3608970461 921.6960768111 955.0569738572 0.0034695893 -0.0004886779 0.0091053952 0.0464422649 0 0.0000000000
2 300 300 0.1697222222 5000 128 75.9136989497 14.9908966641 0.0013116560 0.0763463842 0.0091389809 0.0000726911 0.0013882831 0.0002471691 0.0088056460 0.0088550153 0.0002301750 0.0002302391 0.0002358818 25.5569014326 272.3620418165 297.9189432491 6.5775734187 30.0001415804 792.3532959230 822.3534375034 0.0135446570 0.0105031967 0.0212334286 0.0585926004 0 0.0000000000
