L,rho,mean_density,second_moment_uncentered,forth_moment_uncentered
6600,0.24764234,1.4336778070e-01,2.3597858821e-02,8.4964504850e-04
6600,0.24768288,1.3954317539e-01,2.2396076465e-02,7.7174120826e-04
6600,0.24772922,1.3332087691e-01,2.0600399688e-02,6.7238465068e-04
6600,0.24778134,1.2829289629e-01,1.9109969208e-02,5.8521028237e-04
6600,0.24783925,1.2251734265e-01,1.7545825157e-02,5.0341647068e-04
6600,0.24790296,1.1552616083e-01,1.5690570614e-02,4.1461608762e-04
6600,0.24797246,1.0817484658e-01,1.3814172678e-02,3.2716757313e-04
6600,0.24804774,1.0088478914e-01,1.2105683256e-02,2.6158504667e-04
6600,0.24812883,9.3912924787e-02,1.0519017165e-02,2.0013443513e-04
6600,0.24821570,8.7239477466e-02,9.1044845941e-03,1.5294721897e-04
6600,0.24830836,8.0473536263e-02,7.7804953035e-03,1.1523881023e-04
6600,0.24840681,7.3473773779e-02,6.4806401931e-03,8.0759720527e-05
6600,0.24851106,6.7293814995e-02,5.4481955122e-03,5.8205858758e-05
6600,0.24862110,6.1205010684e-02,4.5063766351e-03,4.0702208865e-05
6600,0.24873693,5.5201748191e-02,3.6486342597e-03,2.6450062516e-05
6600,0.24885855,4.9532349162e-02,2.9212440294e-03,1.6802878149e-05
6600,0.24898596,4.4771890376e-02,2.3839088484e-03,1.1386059917e-05
6600,0.24911916,4.0651332142e-02,1.9612920890e-03,7.8642124999e-06
6600,0.24925816,3.6632714979e-02,1.5824373302e-03,5.0490367944e-06
6600,0.24940294,3.2757415099e-02,1.2519059472e-03,2.9890093134e-06
6600,0.24955352,2.9560508122e-02,1.0196615615e-03,2.0357041811e-06
6600,0.24970989,2.6790619722e-02,8.3108716799e-04,1.3007309576e-06
6600,0.24987205,2.3779557009e-02,6.4989708624e-04,7.7221234734e-07
6800,0.24500000,3.6098648315e-01,1.3039335804e-01,1.7042247402e-02
6800,0.24516795,3.5605187144e-01,1.2687845107e-01,1.6148099948e-02
6800,0.24533011,3.5064079156e-01,1.2309760560e-01,1.5219518684e-02
6800,0.24548648,3.4521614768e-01,1.1935907948e-01,1.4326519315e-02
6800,0.24563706,3.3903300817e-01,1.1522264807e-01,1.3385866997e-02
6800,0.24578184,3.3269273410e-01,1.1102951167e-01,1.2458718699e-02
6800,0.24592084,3.2536127702e-01,1.0636941793e-01,1.1490449572e-02
6800,0.24605404,3.1787550502e-01,1.0169096818e-01,1.0555091987e-02
6800,0.24618145,3.0931754305e-01,9.6575002981e-02,9.6032937961e-03
6800,0.24630307,3.0039300592e-01,9.1374265516e-02,8.6760042414e-03
6800,0.24641890,2.9008292184e-01,8.5691970986e-02,7.7483609402e-03
6800,0.24652894,2.8145927420e-01,8.0943368501e-02,6.9829290649e-03
6800,0.24663319,2.6970197050e-01,7.4907406062e-02,6.1109565471e-03
6800,0.24673164,2.5944163809e-01,6.9772457089e-02,5.3991799488e-03
6800,0.24682430,2.4836182132e-01,6.4448866636e-02,4.7092137669e-03
6800,0.24691117,2.3875972471e-01,5.9923249145e-02,4.1477590391e-03
6800,0.24699226,2.2899411321e-01,5.5570322986e-02,3.6445367574e-03
6800,0.24706754,2.1847278917e-01,5.0996128739e-02,3.1457169076e-03
6800,0.24713704,2.0914239488e-01,4.7152610747e-02,2.7594388514e-03
6800,0.24720075,2.0151616201e-01,4.4104639533e-02,2.4689910490e-03
6800,0.24725866,1.9263258618e-01,4.0554445236e-02,2.1316235828e-03
6800,0.24731078,1.8587214362e-01,3.8083975166e-02,1.9218044211e-03
6800,0.24735712,1.7960124528e-01,3.5790321275e-02,1.7346084421e-03
6800,0.24739766,1.7348407701e-01,3.3482850589e-02,1.5373308124e-03
6800,0.24743240,1.7081640153e-01,3.2585095973e-02,1.4704743131e-03
6800,0.24746136,1.6631119001e-01,3.1011877476e-02,1.3494280960e-03
6800,0.24748453,1.6280769638e-01,2.9891085507e-02,1.2761441606e-03
6800,0.24750190,1.6109290774e-01,2.9233339857e-02,1.2176418665e-03
6800,0.24751348,1.5847275018e-01,2.8395801610e-02,1.1637794229e-03
6800,0.24751928,1.5769014604e-01,2.8070815210e-02,1.1341968743e-03
6800,0.24752072,1.5832955817e-01,2.8363934593e-02,1.1636583974e-03
6800,0.24752652,1.5745584141e-01,2.8049390057e-02,1.1391729594e-03
6800,0.24753810,1.5696776276e-01,2.7876032294e-02,1.1247410684e-03
6800,0.24755547,1.5383106302e-01,2.6875305973e-02,1.0589875622e-03
6800,0.24757864,1.5101294015e-01,2.5935808213e-02,9.9454462608e-04
6800,0.24760760,1.4745400184e-01,2.4866026744e-02,9.2954321814e-04
6800,0.24764234,1.4371940585e-01,2.3638155286e-02,8.4299934124e-04
6800,0.24768288,1.3791287987e-01,2.1909761900e-02,7.4315825192e-04
6800,0.24772922,1.3254015759e-01,2.0290479938e-02,6.4395596904e-04
6800,0.24778134,1.2777860629e-01,1.9001476933e-02,5.7761801340e-04
6800,0.24783925,1.2133823387e-01,1.7231631724e-02,4.8829110678e-04
6800,0.24790296,1.1432372048e-01,1.5389379942e-02,3.9888776078e-04
6800,0.24797246,1.0692950483e-01,1.3527577945e-02,3.1625845795e-04
6800,0.24804774,9.9990450216e-02,1.1898331601e-02,2.5295697898e-04
6800,0.24812883,9.3071034025e-02,1.0316863288e-02,1.9159646600e-04
6800,0.24821570,8.5889811371e-02,8.8684505828e-03,1.4794639243e-04
6800,0.24830836,7.8532591458e-02,7.4215644939e-03,1.0585332569e-04
6800,0.24840681,7.2688319059e-02,6.3554871487e-03,7.8167441919e-05
6800,0.24851106,6.5386476241e-02,5.1458416099e-03,5.2215607983e-05
6800,0.24862110,5.9697092264e-02,4.2818102515e-03,3.6796391002e-05
6800,0.24873693,5.3844216611e-02,3.4734637233e-03,2.4888478011e-05
6800,0.24885855,4.8627152716e-02,2.8216185290e-03,1.5880798595e-05
6800,0.24898596,4.3829498097e-02,2.2820583402e-03,1.0313003685e-05
6800,0.24911916,3.9488493205e-02,1.8542420469e-03,7.0839929574e-06
6800,0.24925816,3.5351865897e-02,1.4685455534e-03,4.1219760804e-06
6800,0.24940294,3.1821272878e-02,1.1811610361e-03,2.6767911323e-06
6800,0.24955352,2.8596695538e-02,9.4602965697e-04,1.6934012785e-06
6800,0.24970989,2.5590212900e-02,7.5249722216e-04,1.0247845568e-06
6800,0.24987205,2.3061834883e-02,6.0747164404e-04,6.6589515817e-07
7000,0.24500000,3.6131127218e-01,1.3061518853e-01,1.7095112720e-02
7000,0.24516795,3.5646221462e-01,1.2716471977e-01,1.6218083821e-02
7000,0.24533011,3.5117380826e-01,1.2345964313e-01,1.5303237288e-02
7000,0.24548648,3.4562769032e-01,1.1962992143e-01,1.4385205527e-02
7000,0.24563706,3.3984784336e-01,1.1574894075e-01,1.3498301787e-02
7000,0.24578184,3.3352148830e-01,1.1156489334e-01,1.2572209386e-02
7000,0.24592084,3.2697440146e-01,1.0735133185e-01,1.1679524348e-02
7000,0.24605404,3.1895994393e-01,1.0237669335e-01,1.0691984954e-02
7000,0.24618145,3.1090067757e-01,9.7463511531e-02,9.7507146343e-03
7000,0.24630307,3.0186316828e-01,9.2216825620e-02,8.8195553268e-03
7000,0.24641890,2.9235520982e-01,8.6866748550e-02,7.9172552669e-03
7000,0.24652894,2.8198717326e-01,8.1276707658e-02,7.0418170482e-03
7000,0.24663319,2.7142655811e-01,7.5745131893e-02,6.2233273644e-03
7000,0.24673164,2.6060686265e-01,7.0333530714e-02,5.4714234955e-03
7000,0.24682430,2.5014148522e-01,6.5204688603e-02,4.7853770831e-03
7000,0.24691117,2.3962647095e-01,6.0346780012e-02,4.1974414448e-03
7000,0.24699226,2.2812656540e-01,5.5224822308e-02,3.6144432704e-03
7000,0.24706754,2.1936001787e-01,5.1370493104e-02,3.1844731063e-03
7000,0.24713704,2.1041308584e-01,4.7637733379e-02,2.7998609207e-03
7000,0.24720075,2.0191244534e-01,4.4189772912e-02,2.4625123286e-03
7000,0.24725866,1.9388942352e-01,4.1046651332e-02,2.1708537099e-03
7000,0.24731078,1.8571162606e-01,3.7997230865e-02,1.9135979311e-03
7000,0.24735712,1.7976658011e-01,3.5662861268e-02,1.7033869689e-03
7000,0.24739766,1.7458392222e-01,3.3920676399e-02,1.5755097092e-03
7000,0.24743240,1.7010971244e-01,3.2246681529e-02,1.4363335703e-03
7000,0.24746136,1.6645673681e-01,3.1056840310e-02,1.3521428489e-03
7000,0.24748453,1.6229674150e-01,2.9687997317e-02,1.2571534763e-03
7000,0.24750190,1.5972486009e-01,2.8750070589e-02,1.1814873427e-03
7000,0.24751348,1.5830577045e-01,2.8251850692e-02,1.1437032871e-03
