L,rho,mean_density,second_moment_uncentered,forth_moment_uncentered
12000,0.24768595,1.2008262330e-01,1.6793602918e-02,4.5068124231e-04
12000,0.24783951,9.8150078479e-02,1.1375064521e-02,2.2291479873e-04
12000,0.24806040,7.1642515743e-02,6.2365051246e-03,7.7136564870e-05
12000,0.24836088,4.6631235771e-02,2.5791916666e-03,1.3141448925e-05
12000,0.24875319,3.0563770729e-02,1.0727363626e-03,2.0163390352e-06
12000,0.24924957,1.8498284243e-02,3.8586037928e-04,2.5349242056e-07
12000,0.24986226,1.0929476056e-02,1.3122871171e-04,2.5476039127e-08
12000,0.25060351,6.6670088681e-03,4.8200353153e-05,3.3615203059e-09
12000,0.25148556,4.1516279583e-03,1.8326548793e-05,4.4020947670e-10
12000,0.25252066,2.6100367014e-03,7.1471147944e-06,6.2755128365e-11
12000,0.25372105,1.7176787222e-03,3.0846937208e-06,1.1495505982e-11
12000,0.25509897,1.1149754792e-03,1.2937873953e-06,2.0379623939e-12
12000,0.25666667,7.6332156250e-04,6.0287314700e-07,4.2091343501e-13
12000,0.25843638,5.2465656250e-04,2.8398014000e-07,9.2581871710e-14
12000,0.26042037,3.6481627083e-04,1.3695015540e-07,2.1285552620e-14
12000,0.26263085,2.6305261806e-04,7.1176776106e-08,5.7729645600e-15
12000,0.26508009,1.8807831250e-04,3.6162889705e-08,1.4425981399e-15
12000,0.26778033,1.3847356944e-04,1.9589905659e-08,4.2203695588e-16
12000,0.27074380,1.0289140278e-04,1.0804971958e-08,1.2735411183e-16
12000,0.27398276,7.6924569444e-05,6.0292197518e-09,3.9519480992e-17
12000,0.27750944,5.8912020833e-05,3.5357775220e-09,1.3572854568e-17
12000,0.28133609,4.5048180556e-05,2.0618888349e-09,4.5511751238e-18
12000,0.28547495,3.4780861111e-05,1.2289411293e-09,1.6209744376e-18
12000,0.28993827,2.7348076389e-05,7.5868657383e-10,6.1590594861e-19
12000,0.29473829,2.1557340278e-05,4.7131964280e-10,2.3612085484e-19
12000,0.29988726,1.7175444444e-05,2.9899255990e-10,9.4718771998e-20
16000,0.00000000,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
16000,0.01469901,9.9665164931e-01,9.9331451018e-01,9.8667371655e-01
16000,0.02880420,9.8753886961e-01,9.7523301939e-01,9.5107944367e-01
16000,0.04232782,9.7391049918e-01,9.4850166124e-01,8.9965540452e-01
16000,0.05528211,9.5682827049e-01,9.1552034051e-01,8.3817749861e-01
16000,0.06767932,9.3718717815e-01,8.7831980874e-01,7.7144569295e-01
16000,0.07953168,9.1573595720e-01,8.3857234608e-01,7.0320358888e-01
16000,0.09085144,8.9308980397e-01,7.9760940106e-01,6.3618076657e-01
16000,0.10165085,8.6975322699e-01,7.5647067963e-01,5.7224790056e-01
16000,0.11194215,8.4613432079e-01,7.1594329305e-01,5.1257481101e-01
16000,0.12173758,8.2255904584e-01,6.7660338847e-01,4.5779215771e-01
16000,0.13104938,7.9927997751e-01,6.3884848809e-01,4.0812740514e-01
16000,0.13988981,7.7649392157e-01,6.0294281607e-01,3.6354005351e-01
16000,0.14827109,7.5434292766e-01,5.6903325800e-01,3.2379886122e-01
16000,0.15620549,7.3292946237e-01,5.3718560333e-01,2.8856838644e-01
16000,0.16370523,7.1231794401e-01,5.0739686036e-01,2.5745158810e-01
16000,0.17078257,6.9255402195e-01,4.7963108075e-01,2.3004598786e-01
16000,0.17744975,6.7363080892e-01,4.5377847440e-01,2.0591491775e-01
16000,0.18371901,6.5555807528e-01,4.2975639792e-01,1.8469057506e-01
16000,0.18960259,6.3829652624e-01,4.0742246452e-01,1.6599307944e-01
16000,0.19511274,6.2182236090e-01,3.8666305833e-01,1.4950833586e-01
16000,0.20026171,6.0607960485e-01,3.6733249687e-01,1.3493317715e-01
16000,0.20506173,5.9102287323e-01,3.4930804795e-01,1.2201612812e-01
16000,0.20952505,5.7655917566e-01,3.3242049502e-01,1.1050340145e-01
16000,0.21366391,5.6265498221e-01,3.1658064276e-01,1.0022332079e-01
16000,0.21749056,5.4921854675e-01,3.0164103003e-01,9.0987332634e-02
16000,0.22101724,5.3617687383e-01,2.8748566206e-01,8.2648031213e-02
16000,0.22425620,5.2347320427e-01,2.7402422016e-01,7.5089300165e-02
16000,0.22721967,5.1099958055e-01,2.6112060384e-01,6.8184003710e-02
16000,0.22991991,4.9869723161e-01,2.4869897315e-01,6.1851223348e-02
16000,0.23236915,4.8650960850e-01,2.3669166262e-01,5.6023003228e-02
16000,0.23457963,4.7433929478e-01,2.2499785012e-01,5.0624107752e-02
16000,0.23656362,4.6207245685e-01,2.1351107232e-01,4.5587077883e-02
16000,0.23833333,4.4966156081e-01,2.0219571899e-01,4.0883270298e-02
