sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC
253, 1782337, 359566, 371516, 358438, 347089, 172864, 172864
254, 1776577, 378206, 349720, 336980, 365513, 173079, 173079
255, 1776040, 362284, 354996, 342169, 349401, 183595, 183595
256, 1779740, 373885, 346137, 333681, 360855, 182591, 182591
257, 1779169, 367791, 359678, 346836, 355112, 174876, 174876
258, 1779285, 359854, 363348, 350724, 346911, 179224, 179224
259, 1780194, 358911, 370464, 357525, 346440, 173427, 173427
260, 1776350, 344806, 382669, 369520, 332219, 173568, 173568
261, 1778799, 366051, 362297, 349291, 353090, 174035, 174035
262, 1777180, 351439, 373444, 360621, 338944, 176366, 176366
263, 1779155, 367391, 356869, 344306, 354473, 178058, 178058
264, 1781334, 356051, 369134, 356486, 343785, 177939, 177939
265, 1779865, 374573, 355926, 343334, 361486, 172273, 172273
266, 1781979, 364801, 358532, 345944, 351920, 180391, 180391
267, 1774542, 373112, 358174, 345426, 360014, 168908, 168908
268, 1782176, 379881, 353173, 340784, 366992, 170673, 170673
269, 1776207, 357789, 360318, 347307, 345151, 182821, 182821
270, 1780220, 353300, 370119, 357488, 340461, 179426, 179426
271, 1774948, 362210, 365359, 352454, 349329, 172798, 172798
272, 1778272, 358738, 365139, 352580, 346089, 177863, 177863
273, 1778212, 366114, 358164, 345247, 353263, 177712, 177712
274, 1776576, 359194, 366624, 353821, 346349, 175294, 175294
275, 1779330, 361243, 361152, 348409, 348396, 180065, 180065
276, 1780703, 359172, 370276, 357400, 346527, 173664, 173664
277, 1780796, 361988, 360639, 348123, 349404, 180321, 180321
278, 1778810, 364098, 364674, 351998, 351442, 173299, 173299
279, 1780451, 361624, 368845, 355937, 348925, 172560, 172560
280, 1779270, 361600, 363433, 350621, 349190, 177213, 177213
281, 1780650, 358613, 367379, 354670, 346004, 176992, 176992
282, 1782626, 370435, 361531, 348954, 357652, 172027, 172027
283, 1778525, 332661, 393941, 380507, 320604, 175406, 175406
284, 1776431, 355125, 365263, 352363, 342448, 180616, 180616
285, 1782248, 357993, 373348, 360749, 345438, 172360, 172360
286, 1778252, 359159, 374091, 361019, 346413, 168785, 168785
287, 1778915, 363914, 363218, 350586, 351021, 175088, 175088
288, 1778192, 357134, 371634, 358810, 344410, 173102, 173102
289, 1780695, 361731, 365476, 352589, 349181, 175859, 175859
290, 1778504, 348187, 376386, 363568, 335749, 177307, 177307
291, 1780864, 364576, 363079, 350262, 352073, 175437, 175437
292, 1775790, 352995, 366315, 353526, 340444, 181255, 181255
293, 1779844, 352898, 366387, 353558, 340379, 183311, 183311
294, 1781274, 365458, 360202, 347714, 352486, 177707, 177707
295, 1779024, 365109, 364650, 351747, 352238, 172640, 172640
296, 1780638, 355820, 368113, 355134, 343589, 178991, 178991
297, 1773937, 361158, 371944, 359132, 348343, 166680, 166680
298, 1780150, 375646, 353036, 340502, 362798, 174084, 174084
299, 1775020, 369763, 363420, 350861, 356820, 167078, 167078
300, 1777801, 356390, 369244, 356343, 343710, 176057, 176057
301, 1776091, 375286, 355410, 342958, 361933, 170252, 170252
302, 1778434, 371165, 356085, 343354, 358666, 174582, 174582
303, 1779655, 344504, 374550, 361945, 332044, 183306, 183306
304, 1778606, 359468, 370231, 357417, 347056, 172217, 172217
305, 1781122, 360712, 372773, 359886, 348003, 169874, 169874
306, 1777913, 362479, 368295, 355582, 349457, 171050, 171050
307, 1778680, 357215, 369072, 355989, 344448, 175978, 175978
308, 1776001, 363874, 361901, 349403, 351021, 174901, 174901
309, 1781902, 365226, 361519, 349034, 352321, 176901, 176901
310, 1778622, 370773, 351607, 338958, 357906, 179689, 179689
311, 1779372, 360503, 365014, 352038, 347669, 177074, 177074
312, 1778909, 362761, 365708, 352812, 350060, 173784, 173784
313, 1780688, 359610, 369133, 356463, 347084, 174199, 174199
314, 1775976, 364180, 360859, 348172, 351315, 175725, 175725
315, 1778240, 360482, 375136, 362163, 347857, 166301, 166301
316, 1776576, 373676, 355783, 343250, 360723, 171572, 171572
317, 1776595, 368485, 356237, 343733, 355448, 176346, 176346
318, 1774905, 371441, 355263, 342314, 358307, 173790, 173790
319, 1778873, 362350, 368488, 355831, 349550, 171327, 171327
320, 1780276, 362289, 367092, 354230, 349781, 173442, 173442
321, 1776837, 364093, 366714, 353978, 350962, 170545, 170545
322, 1780384, 370852, 359000, 346494, 358078, 172980, 172980
323, 1778794, 361526, 366285, 353649, 348990, 174172, 174172
324, 1777478, 371663, 357948, 345240, 358291, 172168, 172168
325, 1778072, 356779, 364903, 352109, 343787, 180247, 180247
326, 1782031, 367261, 360663, 348077, 354524, 175753, 175753
327, 1775085, 378904, 349349, 336812, 365756, 172132, 172132
328, 1779748, 344320, 376970, 364092, 332110, 181128, 181128
329, 1776768, 380153, 343095, 330882, 367164, 177737, 177737
330, 1778443, 362847, 368436, 355386, 350166, 170804, 170804
331, 1776149, 361005, 367638, 354863, 348443, 172100, 172100
332, 1780771, 366519, 365264, 352669, 353869, 171225, 171225
