L,rho,E_1st,E_2nd,E_4th,abs_R_1st,R_1st,R_2nd,R_4th,bond_energy_1st,bond_energy_2nd,bond_energy_4th,bond_defect_1st,bond_defect_2nd,bond_defect_4th
3200,0.101,0.50054555,0.25054585,0.06277322,0.25103828,-0.03842019,0.09500692,0.02327075,-1.87113492,3.50115707,12.25825721,0.00765791,0.00006139,0.00000000
3200,0.102,0.50057964,0.25057998,0.06279032,0.22302906,-0.04117226,0.07583259,0.01540420,-1.86826364,3.49041866,12.18315690,0.00808227,0.00006769,0.00000001
3200,0.103,0.50061588,0.25061626,0.06280851,0.20004605,-0.04326940,0.06118072,0.01011814,-1.86534287,3.47951231,12.10712157,0.00852451,0.00007470,0.00000001
3200,0.104,0.50065442,0.25065485,0.06282785,0.17973050,-0.04623321,0.04981154,0.00685582,-1.86238380,3.46848068,12.03045876,0.00897885,0.00008239,0.00000001
3200,0.105,0.50069521,0.25069570,0.06284833,0.16242236,-0.04935560,0.04072022,0.00468062,-1.85938901,3.45733383,11.95324471,0.00944411,0.00009073,0.00000001
3200,0.106,0.50073834,0.25073889,0.06286999,0.14795344,-0.05134339,0.03397922,0.00326314,-1.85633469,3.44598412,11.87488423,0.00993241,0.00010001,0.00000001
3200,0.107,0.50078382,0.25078444,0.06289283,0.13707856,-0.05517674,0.02915387,0.00241840,-1.85327278,3.43462505,11.79671852,0.01041834,0.00010976,0.00000001
3200,0.108,0.50083193,0.25083262,0.06291701,0.12614640,-0.05847516,0.02479021,0.00176710,-1.85016680,3.42312167,11.71782318,0.01091929,0.00012030,0.00000001
3200,0.109,0.50088258,0.25088336,0.06294246,0.11674577,-0.06119165,0.02121163,0.00129977,-1.84701829,3.41148051,11.63825316,0.01143497,0.00013170,0.00000002
3200,0.11,0.50093594,0.25093681,0.06296928,0.11001673,-0.06340957,0.01877999,0.00100724,-1.84382968,3.39971151,11.55808759,0.01196397,0.00014400,0.00000002
3200,0.111,0.50099200,0.25099299,0.06299748,0.10385070,-0.06652809,0.01665877,0.00078698,-1.84062737,3.38791237,11.47799403,0.01249379,0.00015686,0.00000003
3200,0.112,0.50105079,0.25105189,0.06302705,0.09944267,-0.06876198,0.01516856,0.00063989,-1.83738875,3.37600040,11.39741891,0.01303491,0.00017061,0.00000003
3200,0.113,0.50111235,0.25111359,0.06305803,0.09610904,-0.07201001,0.01402317,0.00053115,-1.83413996,3.36407212,11.31701778,0.01357478,0.00018491,0.00000003
